Seed    PlayerNr    Round   LoserHandCardCount  LoserHandValue  LoserFilledCardSpots    LoserCardSpotsValue
68  1   11  6   43  2   55
69  1   13  3   17  3   100
70  0   8   2   20  3   119
71  1   11  4   40  2   49
72  0   4   5   30  2   60
73  0   9   4   34  3   96
74  1   16  1   8   3   94
75  0   12  4   20  2   89
76  0   10  1   2   4   121
77  0   10  2   12  3   54
78  0   13  1   2   4   116
79  1   7   13  80  0   0
80  1   6   8   57  1   40
81  1   17  2   20  3   86
82  0   8   1   10  3   107
83  1   14  13  119 0   0
84  1   6   2   12  3   78
85  0   12  3   30  3   66
86  1   15  1   4   4   87
87  1   14  2   17  3   71
88  1   10  3   23  3   62
89  1   3   13  89  0   0
90  0   14  1   2   3   82
91  1   2   13  121 0   0
92  0   10  4   36  3   81
93  1   7   3   29  3   60
94  0   6   3   15  3   90
95  0   7   6   60  2   39
96  1   13  2   18  3   90
97  1   9   4   36  3   69
98  1   11  2   5   3   65
99  1   10  7   56  2   54
100 0   7   3   30  2   94
101 0   15  1   5   3   70
102 0   12  3   29  3   90
103 1   20  1   6   3   82
104 0   9   6   43  2   51
105 1   11  2   20  3   70
106 0   8   4   17  3   70
107 1   13  3   16  3   66
108 0   9   3   20  3   48
109 1   13  1   2   4   78
110 0   6   1   4   3   52
111 1   9   4   28  3   81
112 1   14  13  94  0   0
113 0   5   13  73  0   0
114 1   15  1   2   3   93
115 1   13  1   2   3   104
116 0   16  13  114 0   0
117 0   21  2   22  3   130
118 0   6   3   17  3   88
119 1   8   2   15  3   85
120 1   15  3   30  3   61
121 1   4   13  90  0   0
122 0   10  5   22  2   54
123 0   8   13  115 0   0
124 0   10  1   3   4   112
125 1   15  2   12  3   93
126 0   7   3   30  3   84
127 1   6   6   39  2   77
128 0   9   9   67  1   40
129 0   7   4   40  2   30
130 1   4   7   26  2   70
131 0   8   4   20  3   51
132 1   10  13  70  0   0
133 0   11  7   53  2   45
134 1   5   4   38  3   73
135 0   10  6   26  2   68
136 0   15  3   18  3   69
137 0   13  2   22  3   76
138 1   8   2   20  3   54
139 0   10  3   25  3   96
140 1   8   2   9   3   91
141 1   10  1   9   4   81
142 0   9   4   27  3   72
143 0   14  2   19  3   110
144 0   13  1   10  3   68
145 1   17  1   4   3   114
146 1   10  1   10  3   74
147 1   16  1   20  3   68
148 0   13  2   6   3   99
149 1   11  13  84  0   0
150 1   10  3   29  3   110
151 0   7   6   39  2   60
152 1   14  1   7   3   83
153 1   19  3   30  3   78
154 0   11  1   6   4   106
155 0   17  1   2   3   133
156 0   13  2   20  2   74
157 1   14  4   40  2   70
158 1   11  3   30  3   79
159 0   10  2   12  3   91
160 1   12  1   3   4   121
161 0   8   2   20  3   56
162 0   10  2   4   3   89
163 0   7   4   27  3   77
164 0   14  2   18  3   91
165 1   11  3   14  3   46
166 0   13  7   70  2   54
167 0   23  1   20  3   74
168 0   7   3   16  3   52
169 1   8   7   47  2   70
170 0   9   4   40  3   78
171 0   8   4   26  3   67
172 0   7   1   20  4   118
173 1   14  1   10  3   55
174 0   16  3   29  3   80
175 1   9   2   28  3   82
176 1   10  13  86  0   0
177 1   8   5   47  2   59
178 0   8   13  64  0   0
179 1   7   10  79  1   30
180 1   3   3   13  3   72
181 1   3   9   54  1   30
182 1   6   1   2   3   42
183 0   6   5   35  2   45
184 1   12  7   70  2   33
185 0   6   2   8   3   51
186 1   4   1   3   4   96
187 0   8   2   10  3   85
188 0   9   2   20  3   93
189 1   8   3   16  3   68
190 0   7   4   30  3   66
191 0   12  2   5   3   82
192 0   14  1   3   4   107
193 1   8   3   29  3   75
194 1   13  1   10  3   82
195 0   7   6   32  2   49
196 1   7   3   10  3   92
197 1   12  5   35  2   41
198 1   6   13  80  0   0
199 0   16  6   53  2   55
200 1   10  1   2   4   61
201 0   8   3   19  3   79
202 1   7   3   10  3   69
203 0   5   3   18  3   60
204 1   16  2   13  3   83
205 1   7   2   8   3   114
206 0   21  2   8   3   108
207 0   6   3   14  3   68
208 0   8   2   12  3   113
209 1   4   13  70  0   0
210 0   23  1   5   3   80
211 0   11  7   35  2   63
212 0   22  2   20  3   118
213 0   14  13  127 0   0
214 0   13  6   58  2   64
215 0   10  2   13  3   55
216 0   6   1   3   4   132
217 0   2   10  68  1   30
218 0   8   13  88  0   0
219 0   13  1   2   3   95
220 1   9   2   10  3   77
221 1   11  3   22  3   56
222 1   8   3   14  3   60
223 0   8   3   10  2   104
224 1   8   3   22  3   73
225 1   13  2   19  3   99
226 1   4   4   17  3   84
227 1   6   7   44  2   70
228 0   9   7   62  2   72
229 1   18  2   27  3   39
230 1   9   3   28  3   78
231 1   13  13  114 0   0
232 1   17  3   12  2   76
233 0   17  2   20  3   77
234 0   11  2   14  3   78
235 0   7   4   33  3   81
236 1   8   13  75  0   0
237 1   15  2   27  3   95
238 1   10  4   40  3   87
239 1   9   4   25  3   61
240 0   9   7   67  2   38
241 0   8   2   8   3   86
242 1   9   7   69  2   67
243 1   5   13  86  0   0
244 0   16  2   18  3   88
245 0   15  13  89  0   0
246 0   10  4   25  3   73
247 0   6   1   4   3   111
248 1   10  4   27  3   73
249 0   7   4   25  3   68
250 1   13  2   19  3   61
251 1   19  1   5   3   113
252 0   11  2   22  3   84
253 1   17  1   10  4   97
254 1   10  5   38  2   61
255 1   12  2   20  3   88
256 1   7   3   9   3   82
257 0   17  2   20  3   132
258 0   13  2   20  3   102
259 1   12  1   6   3   85
260 1   3   2   20  3   63
261 1   11  2   15  3   77
262 0   10  2   7   3   114
263 0   6   4   39  2   36
264 1   10  4   32  3   85
265 0   14  4   16  2   60
266 1   5   13  99  0   0
267 0   8   3   19  3   93
268 0   7   3   22  3   86
269 1   5   2   10  3   83
270 0   20  2   8   3   64
271 0   6   2   5   3   78
272 0   6   3   22  3   51
273 1   9   1   8   2   60
274 0   13  3   20  3   109
275 1   12  3   21  3   76
276 0   25  2   24  3   104
277 1   11  3   15  3   65
278 0   10  3   30  3   76
279 0   11  3   30  3   81
280 0   9   3   31  3   90
281 1   10  3   21  2   90
282 1   13  3   27  3   74
283 1   14  1   3   3   95
284 1   10  13  114 0   0
285 1   9   13  104 0   0
286 0   13  4   18  3   67
287 0   7   5   43  2   61
288 0   16  3   30  3   84
289 1   5   4   23  3   88
290 1   6   1   2   3   68
291 0   7   6   43  2   61
292 0   16  1   4   3   113
293 1   7   1   6   3   82
294 0   23  2   20  3   81
295 1   12  1   2   3   107
296 1   8   3   13  3   115
297 1   9   13  102 0   0
298 0   11  3   19  3   92
299 1   11  1   2   4   104
300 0   9   2   8   3   77
301 0   8   3   22  3   82
302 0   8   1   2   4   84
303 1   11  13  94  0   0
304 1   6   6   44  2   62
305 0   10  3   30  3   76
306 0   9   1   7   3   100
307 1   5   3   22  3   69
308 1   12  13  84  0   0
309 1   3   4   21  3   82
310 1   11  3   28  3   84
311 1   9   9   69  1   30
312 1   10  2   16  3   96
313 0   4   1   2   4   86
314 1   6   13  91  0   0
315 0   13  3   19  3   96
316 0   19  1   3   2   97
317 0   16  3   23  3   87
318 1   10  4   19  3   98
319 1   18  2   22  3   66
320 1   6   1   2   3   82
321 0   8   1   2   4   99
322 0   17  2   19  2   46
323 1   14  1   2   4   106
324 1   19  1   2   4   110
325 1   9   3   8   3   73
326 1   8   3   18  3   98
327 1   11  1   3   2   76
328 0   9   3   22  3   91
329 1   4   2   16  3   91
330 0   11  1   5   3   140
331 1   12  4   33  3   47
332 1   16  2   20  3   73
333 0   12  3   30  3   80
334 0   9   3   11  3   103
335 0   4   3   7   3   102
336 0   20  2   20  3   94
337 1   5   3   16  3   73
338 1   12  3   22  3   54
339 0   4   6   52  2   55
340 1   12  1   4   3   128
341 1   10  2   8   3   69
342 1   11  2   20  3   81
343 0   7   3   23  3   64
344 0   4   1   7   4   90
345 0   9   5   47  2   44
346 1   9   3   30  3   85
347 1   18  1   2   4   99
348 1   11  7   54  2   45
349 0   8   6   49  2   69
350 1   11  2   18  3   100
351 0   8   13  79  0   0
352 0   11  1   10  4   97
353 1   9   3   26  3   67
354 0   5   4   16  3   58
355 1   11  2   13  3   94
356 1   5   4   21  2   70
357 1   2   13  85  0   0
358 0   9   4   32  3   73
359 0   4   6   48  2   70
