Seed	PlayerNr	Round	LoserHandCardCount	LoserHandValue	LoserFilledCardSpots	LoserCardSpotsValue
1890	1	11	4	28	2	39
1891	0	7	13	92	0	0
1892	0	5	13	75	0	0
1893	1	6	3	16	3	68
1894	1	9	4	40	3	39
1895	1	13	1	3	3	76
1896	0	8	7	37	2	60
1897	1	10	5	50	2	42
1898	1	4	6	51	2	30
1899	0	6	3	11	3	75
1900	1	9	3	14	3	104
1901	1	9	3	6	3	85
1902	1	10	3	18	3	88
1903	0	11	4	37	3	54
1904	1	12	1	2	3	139
1905	0	8	6	38	2	62
1906	0	11	2	20	3	78
1907	1	18	1	3	4	141
1908	1	14	2	23	3	102
1909	1	14	4	32	3	49
1910	0	6	3	28	3	61
1911	1	14	3	12	3	73
1912	0	16	3	40	3	114
1913	0	15	2	24	3	100
1914	0	5	3	17	3	89
1915	0	9	7	48	2	55
1916	0	10	1	3	3	96
1917	0	6	3	30	3	102
1918	1	9	3	12	3	66
1919	1	9	3	8	3	54
1920	0	4	3	17	3	84
1921	0	8	3	24	3	71
1922	0	10	5	41	2	49
1923	0	18	3	26	3	80
1924	0	8	7	55	2	61
1925	1	19	1	2	4	126
1926	1	12	2	20	3	98
1927	0	7	1	10	4	96
1928	0	9	3	11	3	92
1929	0	5	6	33	2	70
1930	0	11	6	28	2	60
1931	1	7	1	2	3	80
1932	1	7	5	42	2	65
1933	0	10	2	12	3	80
1934	0	17	1	2	3	92
1935	0	6	3	16	3	82
1936	1	19	5	50	2	64
1937	1	10	9	77	1	30
1938	0	6	5	30	2	67
1939	1	10	2	20	3	67
1940	1	3	6	43	2	60
1941	0	8	2	4	3	94
1942	1	7	1	2	4	110
1943	1	12	2	12	3	69
1944	0	19	2	20	3	110
1945	0	15	1	2	4	118
1946	1	15	1	3	4	124
1947	1	14	2	20	3	90
1948	0	11	2	12	3	41
1949	1	8	3	15	3	60
1950	0	12	1	2	4	89
1951	1	16	1	3	3	118
1952	0	8	5	48	2	48
1953	1	6	1	2	4	125
1954	1	16	1	2	4	125
1955	0	9	2	20	3	95
1956	0	12	1	2	3	134
1957	0	14	2	22	3	79
1958	1	9	1	2	4	104
1959	1	7	2	5	3	69
1960	0	7	3	22	3	53
1961	1	10	1	10	3	109
1962	1	6	3	7	3	78
1963	0	5	6	46	2	61
1964	1	9	13	102	0	0
1965	1	9	6	31	2	60
1966	0	14	6	30	2	51
1967	0	12	1	2	3	109
1968	1	16	4	46	3	76
1969	1	12	1	6	3	86
1970	0	7	6	29	2	57
1971	1	6	13	73	0	0
1972	0	11	1	10	4	116
1973	0	11	4	32	3	66
1974	1	19	1	2	3	113
1975	1	9	13	69	0	0
1976	1	9	5	30	2	60
1977	0	10	2	18	3	102
1978	1	10	4	36	3	63
1979	0	10	3	20	3	69
1980	0	13	2	20	3	111
1981	1	14	1	8	4	99
1982	0	9	1	9	4	84
1983	0	18	1	7	4	108
1984	1	11	5	50	2	61
1985	0	12	3	20	3	73
1986	0	10	4	30	3	60
1987	0	11	13	57	0	0
1988	0	7	3	28	3	99
1989	0	5	8	68	1	30
1990	0	11	1	4	4	103
1991	0	5	3	30	3	89
1992	1	9	1	2	4	97
1993	0	17	1	2	4	119
1994	0	9	4	33	2	59
1995	0	12	2	23	3	110
1996	1	6	4	22	3	81
1997	0	17	1	2	3	91
1998	0	3	4	21	3	112
1999	0	9	1	3	4	92
2000	1	8	9	76	1	30
2001	1	4	4	19	3	60
2002	1	8	1	3	4	85
2003	0	17	1	5	3	95
2004	0	8	3	18	3	101
2005	0	2	7	47	2	36
2006	1	17	3	38	3	104
2007	1	4	8	55	1	40
2008	1	16	1	3	3	82
2009	1	8	5	42	2	51
2010	0	11	2	20	3	67
2011	0	11	1	2	3	73
2012	1	16	2	12	3	72
2013	0	12	1	3	4	114
2014	0	7	3	21	3	87
2015	1	9	5	50	2	52
2016	1	3	6	41	2	70
2017	1	6	2	22	3	95
2018	0	8	1	2	4	91
2019	0	14	1	8	4	66
2020	0	5	3	10	3	89
2021	0	11	2	20	3	111
2022	0	14	2	18	3	98
2023	1	8	4	23	2	80
2024	1	10	1	6	4	118
2025	1	10	4	15	3	60
2026	1	15	1	3	4	82
2027	1	9	3	24	3	72
2028	0	5	4	26	3	96
2029	1	7	1	4	3	110
2030	0	19	1	3	4	86
2031	1	6	4	21	3	54
2032	0	4	9	75	1	30
2033	1	5	3	28	3	68
2034	1	17	2	16	3	78
2035	0	6	3	14	3	66
2036	0	9	3	28	3	76
2037	0	13	1	2	4	100
2038	0	11	3	17	3	57
2039	1	15	2	20	3	100
2040	1	14	1	2	4	94
2041	0	4	3	23	3	45
2042	1	11	5	34	2	57
2043	1	3	4	31	3	78
2044	0	10	4	35	2	55
2045	1	11	4	33	2	70
2046	0	12	2	24	3	64
2047	0	10	2	11	3	61
2048	1	15	13	73	0	0
2049	0	3	2	14	3	72
2050	0	13	1	2	4	96
2051	1	7	1	2	3	54
2052	1	8	1	4	3	87
2053	0	9	2	18	3	115
2054	0	14	2	25	3	79
2055	0	11	1	2	4	95
2056	0	7	6	34	2	43
2057	1	15	5	41	2	55
2058	1	9	1	6	4	96
2059	0	9	7	62	2	60
2060	0	15	13	115	0	0
2061	0	12	1	7	3	68
2062	0	20	5	36	2	39
2063	1	10	3	23	2	77
2064	1	14	1	2	4	91
2065	0	12	2	18	3	81
2066	0	8	5	24	2	54
2067	0	12	2	11	3	70
2068	0	11	2	16	3	88
2069	0	11	2	22	3	67
2070	1	8	4	30	2	54
2071	1	11	5	47	1	44
2072	0	5	6	44	2	70
2073	1	7	7	58	1	30
2074	1	16	2	19	3	117
2075	0	5	2	14	3	70
2076	1	9	3	30	3	58
2077	0	8	4	32	2	94
2078	0	24	1	2	3	109
2079	1	11	5	49	2	48
2080	0	6	4	40	3	78
2081	1	4	4	21	3	48
2082	0	4	6	45	2	60
2083	0	14	2	6	3	68
2084	1	11	2	16	3	76
2085	1	9	3	14	3	87
2086	1	3	9	61	1	40
2087	1	7	13	106	0	0
2088	1	10	4	34	3	75
2089	0	7	5	29	2	48
2090	1	8	4	15	3	68
2091	0	5	3	9	3	93
2092	1	4	5	23	2	51
2093	1	13	1	2	3	134
2094	1	12	7	70	2	36
2095	0	13	3	28	3	67
2096	0	8	1	2	3	82
2097	0	16	2	22	3	84
2098	1	11	3	21	3	72
2099	1	13	3	23	3	42
2100	1	7	3	17	3	74
2101	0	9	13	107	0	0
2102	0	9	3	20	3	57
2103	1	14	1	3	3	50
2104	0	13	1	4	4	113
2105	0	13	3	30	3	76
2106	1	12	6	46	2	69
2107	0	4	6	22	2	68
2108	1	8	4	30	3	94
2109	0	11	2	25	3	76
2110	0	10	1	4	3	102
2111	1	13	3	30	2	70
2112	1	16	1	3	4	109
2113	1	15	2	10	3	85
