Seed	PlayerNr	Round	LoserHandCardCount	LoserHandValue	LoserFilledCardSpots	LoserCardSpotsValue
0	1	12	2	14	3	69
1	0	11	2	22	3	62
2	0	17	3	30	3	101
3	1	8	13	90	0	0
4	0	4	7	52	2	52
5	0	6	13	97	0	0
6	0	14	3	24	3	108
7	1	11	6	60	2	50
8	0	9	6	60	2	62
9	1	2	13	114	0	0
10	0	17	2	22	3	106
11	1	8	3	8	3	90
12	1	16	1	5	3	89
13	1	13	1	3	3	110
14	0	6	6	32	2	47
15	1	8	6	30	2	64
16	0	3	13	105	0	0
17	1	5	13	114	0	0
18	0	7	7	65	2	42
19	1	9	2	5	3	75
20	0	13	4	12	3	96
21	1	22	2	6	3	54
22	1	24	2	20	3	92
23	1	15	13	107	0	0
24	0	8	7	48	2	61
25	0	15	2	8	3	75
26	1	15	13	99	0	0
27	1	15	2	4	3	96
28	0	4	3	11	3	87
29	0	16	1	2	4	122
30	1	18	13	99	0	0
31	1	8	4	21	3	67
32	1	10	1	2	4	78
33	0	10	2	16	3	77
34	0	7	3	21	3	85
35	0	10	1	8	3	72
36	1	4	1	3	4	84
37	1	9	13	115	0	0
38	0	15	2	12	3	84
39	0	8	5	42	2	51
40	0	11	13	88	0	0
41	0	7	1	2	4	121
42	1	9	2	9	3	66
43	1	8	13	99	0	0
44	1	14	4	27	2	42
45	0	5	1	5	4	98
46	1	11	4	14	3	97
47	0	17	13	100	0	0
48	1	7	3	19	3	88
49	1	11	4	40	3	72
50	0	3	3	15	3	66
51	1	8	1	7	4	91
52	0	12	1	5	3	84
53	1	25	1	10	3	110
54	1	8	3	30	3	66
55	1	9	6	40	2	60
56	0	9	13	81	0	0
57	0	9	1	3	3	74
58	0	9	4	33	2	70
59	1	12	4	27	3	60
60	0	10	1	4	4	99
61	1	9	4	45	3	77
62	1	11	3	23	3	78
63	-1	31	-1	-1	-1	-1
64	0	10	2	9	3	79
65	0	15	5	49	2	80
66	0	11	2	22	3	89
67	0	12	1	20	3	86
68	1	17	2	13	3	85
69	0	15	1	20	3	117
70	0	9	2	20	3	119
71	0	7	6	44	2	62
72	0	4	5	30	2	60
73	0	18	3	30	3	85
74	1	14	2	20	3	96
75	0	12	4	20	2	89
76	0	13	1	2	3	99
77	0	10	4	16	3	59
78	0	13	1	2	4	116
79	1	7	13	80	0	0
80	1	7	3	19	3	90
81	0	12	1	4	4	96
82	1	12	2	20	3	69
83	1	14	13	119	0	0
84	1	8	2	16	3	105
85	0	12	3	30	3	66
86	1	15	1	4	4	87
87	1	13	3	26	3	76
88	1	10	3	23	3	62
89	1	3	13	89	0	0
90	0	9	3	20	3	72
91	1	2	13	121	0	0
92	0	10	4	36	3	81
93	1	7	3	29	3	60
94	0	6	3	15	3	90
95	0	7	13	107	0	0
96	1	13	2	18	3	90
97	1	13	2	18	3	101
98	1	11	1	3	3	63
99	1	10	7	56	2	54
100	0	7	3	30	2	94
101	1	16	2	12	3	83
102	1	12	3	26	3	74
103	0	20	1	10	4	137
104	0	9	6	43	2	51
105	1	11	2	20	3	70
106	1	12	13	83	0	0
107	1	13	3	30	3	44
108	1	8	6	39	2	60
109	1	11	1	4	4	81
110	0	6	1	4	3	52
111	0	9	3	14	3	76
112	1	14	13	94	0	0
113	0	5	13	73	0	0
114	1	15	1	2	3	93
115	1	12	1	7	3	99
116	0	16	13	114	0	0
117	0	9	4	20	3	78
118	0	5	2	7	3	73
119	1	8	2	15	3	85
120	0	14	2	16	3	100
121	1	4	13	90	0	0
122	0	10	5	22	2	54
123	0	8	13	115	0	0
